"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/25/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/26/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/27/2023","AQS","160010010","1","0.4","ppm","5","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/28/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/29/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/30/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/01/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/02/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/03/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/04/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/05/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/06/2023","AQS","160010010","1","0.4","ppm","5","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/07/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/08/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/09/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","16","67.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/10/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/11/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/12/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/13/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/14/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/15/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"10/16/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
