"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/04/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/05/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/06/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/07/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/08/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/09/2023","AQS","160010010","1","0.044","ppm","41","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/10/2023","AQS","160010010","1","0.045","ppm","42","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/11/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/12/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/13/2023","AQS","160010010","1","0.034","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/14/2023","AQS","160010010","1","0.036","ppm","33","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/15/2023","AQS","160010010","1","0.044","ppm","41","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/16/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/17/2023","AQS","160010010","1","0.045","ppm","42","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/18/2023","AQS","160010010","1","0.054","ppm","50","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/19/2023","AQS","160010010","1","0.049","ppm","45","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/20/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/21/2023","AQS","160010010","1","0.039","ppm","36","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/22/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/23/2023","AQS","160010010","1","0.04","ppm","37","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/24/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/25/2023","AQS","160010010","1","0.044","ppm","41","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/26/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/27/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/28/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/29/2023","AQS","160010010","1","0.045","ppm","42","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/30/2023","AQS","160010010","1","0.04","ppm","37","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/31/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/01/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/02/2023","AQS","160010010","1","0.044","ppm","41","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/03/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/04/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/05/2023","AQS","160010010","1","0.045","ppm","42","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/06/2023","AQS","160010010","1","0.051","ppm","47","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/07/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/08/2023","AQS","160010010","1","0.044","ppm","41","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/09/2023","AQS","160010010","1","0.046","ppm","43","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/10/2023","AQS","160010010","1","0.046","ppm","43","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/11/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/12/2023","AQS","160010010","1","0.048","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/13/2023","AQS","160010010","1","0.046","ppm","43","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/14/2023","AQS","160010010","1","0.047","ppm","44","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/15/2023","AQS","160010010","1","0.046","ppm","43","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/16/2023","AQS","160010010","1","0.051","ppm","47","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/17/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/18/2023","AQS","160010010","1","0.043","ppm","40","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/19/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
